Id,dia_de_la_semana,dia,mes,ano,contador_ruta_reforma222,contador_ruta_revolucion,contador_ruta_patriotismo
181,domingo,21,septiembre,2014,117,NA,NA
182,viernes,10,octubre,2014,1992,NA,NA
183,viernes,17,octubre,2014,2479,NA,NA
184,domingo,26,octubre,2014,1299,NA,NA
185,lunes,6,octubre,2014,2155,NA,NA
186,sábado,7,marzo,2015,1848,NA,NA
187,miércoles,4,marzo,2015,2991,NA,NA
188,sábado,7,febrero,2015,1652,NA,NA
189,lunes,2,febrero,2015,1045,NA,NA
190,martes,27,enero,2015,2968,NA,NA
191,sábado,23,mayo,2015,1506,NA,NA
192,miércoles,9,septiembre,2015,2826,NA,NA
193,jueves,1,octubre,2015,2576,NA,NA
194,jueves,30,julio,2015,2735,NA,NA
195,lunes,17,agosto,2015,2089,NA,NA
196,lunes,3,agosto,2015,239,NA,NA
197,sábado,21,noviembre,2015,1468,NA,NA
198,viernes,10,julio,2015,5861,NA,NA
199,domingo,28,junio,2015,826,NA,NA
200,martes,23,junio,2015,2823,NA,NA
201,miércoles,21,octubre,2015,2987,NA,NA
202,viernes,23,octubre,2015,2743,NA,NA
203,viernes,30,octubre,2015,2433,NA,NA
204,miércoles,13,julio,2016,263,731,904
205,sábado,23,julio,2016,1345,554,471
206,miércoles,1,junio,2016,2825,NA,NA
207,martes,17,mayo,2016,2463,NA,NA
208,jueves,26,mayo,2016,2326,NA,NA
209,miércoles,6,enero,2016,2236,NA,NA
210,sábado,23,abril,2016,1347,NA,NA
211,sábado,7,mayo,2016,1459,NA,NA
212,miércoles,16,marzo,2016,2566,NA,NA
213,jueves,14,abril,2016,3128,NA,NA
214,lunes,4,abril,2016,2736,NA,NA
215,jueves,11,febrero,2016,2259,NA,NA
216,lunes,15,febrero,2016,2439,NA,NA
217,domingo,13,marzo,2016,133,NA,NA
218,lunes,22,febrero,2016,2504,NA,NA
219,lunes,8,febrero,2016,2128,NA,NA
220,lunes,15,agosto,2016,2712,845,930
221,lunes,13,febrero,2017,2993,1119,1171
222,lunes,20,febrero,2017,3069,1102,1231
223,domingo,15,enero,2017,1245,567,551
224,domingo,8,enero,2017,928,504,473
225,miércoles,31,mayo,2017,2849,106,1139
226,sábado,22,abril,2017,1691,657,653
227,sábado,20,mayo,2017,1606,653,649
228,sábado,6,mayo,2017,1584,717,735
229,jueves,25,mayo,2017,2615,893,1112
230,jueves,11,mayo,2017,26,940,124
231,miércoles,20,diciembre,2017,3022,985,1055
232,jueves,7,diciembre,2017,3394,1113,1266
233,lunes,11,diciembre,2017,2885,956,1083
234,sábado,4,noviembre,2017,4884,NA,1237
235,viernes,20,octubre,2017,NA,NA,118
236,lunes,23,octubre,2017,NA,NA,1161
237,lunes,20,marzo,2017,1325,514,570
238,lunes,13,marzo,2017,285,981,1157
239,jueves,13,julio,2017,15012,900,1187
240,miércoles,23,agosto,2017,NA,1088,1217
241,jueves,3,agosto,2017,NA,916,948
242,lunes,24,julio,2017,NA,693,814
243,domingo,17,septiembre,2017,NA,506,546
244,lunes,18,septiembre,2017,NA,918,1009
245,martes,5,septiembre,2017,NA,881,NA
246,jueves,7,septiembre,2017,NA,896,NA
247,sábado,23,diciembre,2017,1148,636,568
248,domingo,24,diciembre,2017,620,366,308
249,jueves,15,septiembre,2016,2135,835,831
250,martes,13,septiembre,2016,2709,799,915
251,sábado,1,octubre,2016,1588,491,527
252,viernes,7,octubre,2016,2627,897,999
253,martes,4,octubre,2016,3122,964,1063
254,domingo,18,diciembre,2016,870,425,452
255,viernes,4,noviembre,2016,2704,909,1017
256,viernes,2,diciembre,2016,2592,920,108
257,martes,30,enero,2018,NA,940,990
258,lunes,8,enero,2018,NA,1054,1154
259,domingo,18,febrero,2018,1372,884,681
260,martes,27,marzo,2018,3036,945,1204
261,lunes,12,marzo,2018,2726,2759,1153
262,viernes,6,abril,2018,2668,883,102
263,miércoles,5,diciembre,2018,3803,794,1127
264,viernes,30,noviembre,2018,3608,866,1087
265,lunes,12,noviembre,2018,3509,895,1257
266,domingo,24,noviembre,2013,1126,NA,NA
267,miércoles,13,junio,2018,1967,589,674
268,sábado,23,junio,2018,1092,533,589
269,jueves,21,junio,2018,2868,912,1047
270,jueves,28,junio,2018,2702,867,1026
271,sábado,28,abril,2018,1511,558,642
272,domingo,6,mayo,2018,1217,457,541
273,jueves,10,mayo,2018,2745,851,121
274,jueves,24,mayo,2018,3338,1038,1325
275,lunes,7,mayo,2018,2885,1,1241
276,viernes,2,noviembre,2018,13,370,411
277,martes,6,noviembre,2018,3817,904,1283
278,jueves,8,noviembre,2018,3954,837,1289
279,viernes,5,octubre,2018,3247,973,1272
280,jueves,11,octubre,2018,3354,964,1196
281,martes,18,septiembre,2018,3156,971,1218
282,sábado,8,septiembre,2018,1744,664,701
283,viernes,3,agosto,2018,2786,809,993
284,martes,31,julio,2018,272,911,1173
285,viernes,17,agosto,2018,2637,779,NA
286,martes,14,agosto,2018,188,1006,NA
287,martes,28,agosto,2018,2483,861,NA
288,miércoles,3,julio,2019,3823,698,1224
289,viernes,19,julio,2019,3189,799,988
290,martes,9,julio,2019,3856,1042,1220
291,domingo,21,julio,2019,1798,483,559
292,viernes,26,julio,2019,2451,544,817
293,viernes,7,junio,2019,2858,867,984
294,jueves,6,junio,2019,2742,810,995
295,viernes,21,junio,2019,3823,1077,1202
296,lunes,18,noviembre,2013,1073,NA,NA
297,martes,3,diciembre,2013,2541,NA,NA
298,domingo,22,diciembre,2013,862,NA,NA
299,jueves,12,diciembre,2013,2069,NA,NA
300,martes,11,febrero,2014,2309,NA,NA
301,domingo,2,febrero,2014,1141,NA,NA
302,martes,28,enero,2014,2581,NA,NA
303,lunes,20,enero,2014,2382,NA,NA
304,viernes,12,septiembre,2014,2063,NA,NA
305,viernes,26,septiembre,2014,2552,NA,NA
306,sábado,20,septiembre,2014,161,NA,NA
307,lunes,15,septiembre,2014,1758,NA,NA
308,miércoles,25,marzo,2015,2932,NA,NA
309,martes,17,marzo,2015,273,NA,NA
310,martes,24,marzo,2015,264,NA,NA
311,lunes,16,marzo,2015,1305,NA,NA
312,lunes,30,marzo,2015,2605,NA,NA
313,miércoles,8,octubre,2014,238,NA,NA
314,martes,18,noviembre,2014,2589,NA,NA
315,jueves,9,octubre,2014,1849,NA,NA
316,miércoles,30,abril,2014,2299,NA,NA
317,miércoles,14,mayo,2014,2546,NA,NA
318,sábado,10,mayo,2014,1041,NA,NA
319,martes,30,diciembre,2014,1818,NA,NA
320,viernes,5,diciembre,2014,2493,NA,NA
321,jueves,8,enero,2015,2251,NA,NA
322,lunes,19,enero,2015,2616,NA,NA
323,jueves,1,enero,2015,882,NA,NA
324,miércoles,19,marzo,2014,2826,NA,NA
325,jueves,27,febrero,2014,3079,NA,NA
326,domingo,23,marzo,2014,149,NA,NA
327,lunes,3,marzo,2014,2536,NA,NA
328,sábado,14,febrero,2015,1378,NA,NA
329,domingo,1,febrero,2015,1021,NA,NA
330,viernes,6,febrero,2015,2729,NA,NA
331,jueves,12,febrero,2015,2253,NA,NA
332,jueves,26,febrero,2015,2865,NA,NA
333,martes,22,julio,2014,2412,NA,NA
334,martes,8,julio,2014,2401,NA,NA
335,lunes,14,julio,2014,1983,NA,NA
336,sábado,18,junio,2016,132,562,506
337,martes,12,julio,2016,2484,730,758
