PUNTO_LEV,ID_UNICO,FOLIO,CALLE_LEV,CALLE_1,CALLE_2,RESUL,F1,P1,MUNORI,P2_COL,P2_REF1,P2_REF2,P3,MUNDES,P4_COL,P4_REF1,P4_REF2,P5,P6,P7_HR,P7_MIN,P8_HR,P8_MIN,P9,P9_1,P10,P11,P11_1,P12,P13,P14_1,P14_2,P14_3,P14_4,P15,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P17,P17_1,P17_2,P17_3,P18,P19,P20,P21_NIVEL,NIVEL,P21_AÑO,P22,P23,P23_1,P24,P24_1,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P26_6,P26_7,P26_8,P27,FACTOR
126,1999,28,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,36,1,09007,DESARROLLO URBANO,,,4,09007,SANTA CRUZ,,,4,4,18,0,18,30,2,0.0,,2,0.0,,1,4,4,4,4,5,2,2,2,2,1,1,2,1,2,,,,2,,2,7,4,3,50,3000,2,1,2,4,2,2,2,2,1,2,2,2,4,61.72
126,1972,1,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,38,1,09007,SANTA MARIA,,,2,09007,LAS PE?AS,,,5,1,8,0,8,52,2,0.0,,2,0.0,,2,4,4,4,4,10,2,2,2,2,2,2,1,2,2,,,,2,,1,4,3,3,988888,8000,4,1,2,4,2,2,2,2,1,2,2,2,4,61.72
141,2204,8,CAMINO DE SANTA TERESA,AV. MEXICO,,1,28,2,09008,SAN NICOLAS,FARMACIA GUADALAJARA,VARIS FARMACIAS,2,09999,,,,5,8,8,30,18,0,1,5.0,4,1,1.0,8,2,1,1,1,1,3,1,1,2,2,1,1,2,2,1,1,1,2,2,,1,3,2,6,35,988888,2,1,2,1,1,2,2,2,2,2,2,2,3,19.9
130,2058,22,AV. FRANCISCO TLALTENCO,AV. FRANCISCO TLALTENCO,AZTECAS,1,72,1,09011,ZAPOTITLAN,TIENDA,TORTILLERIA,4,09013,ZAPOTITLA,CAPILLA,FARMACIA,1,4,13,50,14,5,2,0.0,,2,0.0,,2,3,1,3,1,10,2,2,2,2,2,2,2,2,2,,,,1,2,1,4,2,2,30,1000,1,1,2,1,1,2,2,2,2,2,2,2,4,51.3
130,2045,7,AV. FRANCISCO TLALTENCO,AV. FRANCISCO TLALTENCO,AZTECAS,1,17,2,09007,YAQUI,MATERIALES PARA CONSTRUCCION,CARPINTERIA,1,09007,IZTACIHUATL,VERDULERIA,IGLESIA,5,2,9,36,10,0,2,0.0,,2,0.0,,1,3,2,3,3,7,1,2,2,2,2,2,2,2,2,,,,2,,1,3,2,6,100,988888,9,1,2,1,2,2,2,2,2,2,2,2,4,51.3
130,2066,30,AV. FRANCISCO TLALTENCO,AV. FRANCISCO TLALTENCO,AZTECAS,1,31,1,09007,DEGOLLADO,,,5,09007,SAN LORENZO,JERCERIA,TIENDA,5,10,14,50,15,48,2,0.0,,2,0.0,,1,3,3,3,3,1,1,1,1,1,1,1,1,1,2,,,,1,1,2,4,3,3,150,4000,3,1,2,1,2,2,2,2,2,2,2,2,4,51.3
132,2114,17,AV. VILLA FRANQUEZA,1ER RETORNO DE VILLA FRANQUEZA,,1,23,4,09007,DESARROLLO,,,1,09007,POZOS,,,5,2,11,0,11,40,2,0.0,,2,0.0,,1,4,4,4,4,2,2,2,2,2,2,2,2,2,1,1,5,2,2,,2,4,2,2,100,1000,1,1,2,2,2,1,2,2,2,2,2,2,4,34.01
131,2083,5,AV DEL ROSAL,CHINARA,,1,69,2,09007,EL ROSEDAL,,,2,09007,DESARROLLO URBANO,,,5,8,10,0,10,50,2,0.0,,1,2.0,8,1,4,4,4,4,2,2,1,2,1,1,1,1,1,2,,,,2,,1,4,3,3,50,8000,4,1,2,4,1,2,1,2,2,2,2,1,4,52.82
131,2086,8,AV DEL ARBOL,CHINARA,,1,20,1,09007,SANTA CRUZ,,,2,09007,AGRARISTA,,,5,1,12,0,12,20,2,0.0,,2,0.0,,1,4,4,4,4,1,2,2,2,2,1,1,2,2,2,,,,1,1,1,4,3,3,20,6300,4,1,2,4,2,2,2,2,2,2,2,2,4,52.82
135,2156,2,MARIANO MATAMOROS COL CONCEPCION,JUAN ALVAREZ,CANAL,1,50,1,09008,SAN NICOLAS,TENERIA,,2,09010,GUADALUPE INN,INSURGENTES,,3,1,15,55,16,30,2,0.0,,2,0.0,,2,4,1,2,1,1,2,2,2,2,2,2,2,2,1,2,8,1,2,,1,5,4,3,800,18000,6,1,2,1,2,2,2,2,2,2,2,2,4,14.57
