Día de la semana,Día,Mes,Año,Fecha,Reforma,Revolución,Patriotismo,total
jueves,19,junio,2014,2014-06-19,1683,0,0,1683
viernes,20,junio,2014,2014-06-20,1786,0,0,1786
sabado,21,junio,2014,2014-06-21,1082,0,0,1082
domingo,22,junio,2014,2014-06-22,1107,0,0,1107
lunes,23,junio,2014,2014-06-23,1491,0,0,1491
martes,24,junio,2014,2014-06-24,1537,0,0,1537
miercoles,25,junio,2014,2014-06-25,1485,0,0,1485
jueves,26,junio,2014,2014-06-26,1881,0,0,1881
viernes,27,junio,2014,2014-06-27,2383,0,0,2383
sabado,28,junio,2014,2014-06-28,937,0,0,937
domingo,29,junio,2014,2014-06-29,1037,0,0,1037
lunes,30,junio,2014,2014-06-30,1515,0,0,1515
martes,1,julio,2014,2014-07-01,2702,0,0,2702
miercoles,2,julio,2014,2014-07-02,2098,0,0,2098
jueves,3,julio,2014,2014-07-03,2331,0,0,2331
viernes,4,julio,2014,2014-07-04,1835,0,0,1835
sabado,5,julio,2014,2014-07-05,1109,0,0,1109
domingo,6,julio,2014,2014-07-06,933,0,0,933
lunes,7,julio,2014,2014-07-07,1957,0,0,1957
martes,8,julio,2014,2014-07-08,2401,0,0,2401
miercoles,9,julio,2014,2014-07-09,2192,0,0,2192
jueves,10,julio,2014,2014-07-10,2219,0,0,2219
viernes,11,julio,2014,2014-07-11,2445,0,0,2445
sabado,12,julio,2014,2014-07-12,154,0,0,154
domingo,13,julio,2014,2014-07-13,801,0,0,801
lunes,14,julio,2014,2014-07-14,1983,0,0,1983
martes,15,julio,2014,2014-07-15,2152,0,0,2152
miercoles,16,julio,2014,2014-07-16,1974,0,0,1974
jueves,17,julio,2014,2014-07-17,181,0,0,181
viernes,18,julio,2014,2014-07-18,1963,0,0,1963
sabado,19,julio,2014,2014-07-19,1392,0,0,1392
domingo,20,julio,2014,2014-07-20,1249,0,0,1249
lunes,21,julio,2014,2014-07-21,2346,0,0,2346
martes,22,julio,2014,2014-07-22,2412,0,0,2412
miercoles,23,julio,2014,2014-07-23,1997,0,0,1997
jueves,24,julio,2014,2014-07-24,2339,0,0,2339
viernes,25,julio,2014,2014-07-25,2261,0,0,2261
sabado,26,julio,2014,2014-07-26,1629,0,0,1629
domingo,27,julio,2014,2014-07-27,1356,0,0,1356
lunes,28,julio,2014,2014-07-28,1638,0,0,1638
martes,29,julio,2014,2014-07-29,2242,0,0,2242
miercoles,30,julio,2014,2014-07-30,2367,0,0,2367
jueves,31,julio,2014,2014-07-31,2729,0,0,2729
viernes,1,agosto,2014,2014-08-01,2375,0,0,2375
sabado,2,agosto,2014,2014-08-02,1503,0,0,1503
domingo,3,agosto,2014,2014-08-03,1256,0,0,1256
lunes,4,agosto,2014,2014-08-04,2187,0,0,2187
martes,5,agosto,2014,2014-08-05,2651,0,0,2651
miercoles,6,agosto,2014,2014-08-06,256,0,0,256
jueves,7,agosto,2014,2014-08-07,2237,0,0,2237
viernes,8,agosto,2014,2014-08-08,2052,0,0,2052
